Unnamed: 0,카페이름,유사한 스타일,유사도
0,키쿠키앤커피 성수,"['캐주얼', '클래식', '미니멀', '로맨틱', '스트릿', '시티보이', '레트로', '고프코어', '시크', '걸리시', '스포티', '워크웨어']","[0.28571428571428575, 0.2314550249431379, 0.2314550249431379, 0.16903085094570333, 0.16903085094570333, 0.16116459280507606, 0.15430334996209194, 0.0890870806374748, 0.08058229640253803, 0.08058229640253803, 0.0, 0.0]"
1,굴림,"['시티보이', '클래식', '워크웨어', '고프코어', '로맨틱', '시크', '걸리시', '미니멀', '캐주얼', '레트로', '스포티', '스트릿']","[0.21320071635561041, 0.2041241452319315, 0.1178511301977579, 0.1178511301977579, 0.11180339887498948, 0.10660035817780521, 0.10660035817780521, 0.10206207261596575, 0.0944911182523068, 0.0, 0.0, 0.0]"
2,턴온 성수,"['레트로', '미니멀', '로맨틱', '스트릿', '걸리시', '캐주얼', '스포티', '워크웨어', '클래식', '시티보이', '고프코어', '시크']","[0.24019223070763074, 0.24019223070763074, 0.17541160386140586, 0.17541160386140586, 0.16724840200141816, 0.14824986333222026, 0.09245003270420485, 0.09245003270420485, 0.08006407690254358, 0.0, 0.0, 0.0]"
3,브루잉 세레모니,"['클래식', '걸리시', '미니멀', '캐주얼', '레트로', '시티보이', '로맨틱', '스포티', '워크웨어', '스트릿', '고프코어', '시크']","[0.35355339059327384, 0.12309149097933275, 0.11785113019775795, 0.10910894511799621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,누와,"['스트릿', '걸리시', '레트로', '미니멀', '캐주얼', '로맨틱', '시티보이', '클래식', '스포티', '워크웨어', '고프코어', '시크']","[0.21081851067789195, 0.20100756305184242, 0.19245008972987526, 0.19245008972987526, 0.1781741612749496, 0.10540925533894598, 0.10050378152592121, 0.09622504486493763, 0.0, 0.0, 0.0, 0.0]"
5,럭럭카페 성수,"['미니멀', '로맨틱', '시크', '레트로', '클래식', '캐주얼', '시티보이', '걸리시', '스트릿', '스포티', '워크웨어', '고프코어']","[0.33113308926626095, 0.29019050004400465, 0.27668578554642986, 0.1986798535597566, 0.1986798535597566, 0.18394180184548975, 0.13834289277321493, 0.13834289277321493, 0.07254762501100116, 0.0, 0.0, 0.0]"
6,리브릭,"['로맨틱', '미니멀', '캐주얼', '시티보이', '걸리시', '레트로', '클래식', '스트릿', '시크', '스포티', '워크웨어', '고프코어']","[0.3, 0.2738612787525831, 0.253546276418555, 0.19069251784911848, 0.19069251784911848, 0.1825741858350554, 0.1825741858350554, 0.1, 0.09534625892455924, 0.0, 0.0, 0.0]"
7,봄의정원 성수점,"['미니멀', '시크', '레트로', '로맨틱', '스트릿', '시티보이', '캐주얼', '스포티', '워크웨어', '고프코어', '클래식', '걸리시']","[0.38729833462074176, 0.26967994498529685, 0.25819888974716115, 0.1414213562373095, 0.1414213562373095, 0.13483997249264842, 0.11952286093343936, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,BNHR 성수,"['캐주얼', '미니멀', '로맨틱', '레트로', '스트릿', '시티보이', '시크', '걸리시', '클래식', '스포티', '워크웨어', '고프코어']","[0.32732683535398865, 0.2357022603955159, 0.19364916731037088, 0.17677669529663692, 0.12909944487358058, 0.061545745489666376, 0.061545745489666376, 0.061545745489666376, 0.058925565098878974, 0.0, 0.0, 0.0]"
9,프레이커피바 PCB서울,"['미니멀', '시티보이', '걸리시', '레트로', '캐주얼', '로맨틱', '스트릿', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.2886751345948129, 0.20100756305184242, 0.20100756305184242, 0.19245008972987526, 0.1781741612749496, 0.10540925533894598, 0.10540925533894598, 0.0, 0.0, 0.0, 0.0, 0.0]"
